user_id,nb_visits,nb_purchase,amount_purchase,nb_products_seen,nb__distinct_products,nb_distinct_category0,nb_distinct_category1,nb_distinct_category2,nb_distinct_product_purchased,nb_distinct_category_purchased,nb_visits_last_month,nb_purchase_last_month,amount_purchase_last_month,nb_products_seen_last_month,nb__distinct_products_last_month,nb_distinct_category0_last_month,nb_distinct_category1_last_month,nb_distinct_category2_last_month,nb_distinct_product_purchased_last_month,nb_distinct_category_purchased_last_month,nb_associated_months,nb_days_last_activity,nb_days_last_purchase,nb_active_months,nb_active_purchase_months,nb_purchase_total,amount_purchase_total,no_activity_evaluation_period,amount_purchase_evaluation_period,no_purchase_evaluation_period
59157,11,0,0.0,9,9,3,5,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,100,99999,1,0,0,0.0,1,0,1
11420,1,1,15.0,1,1,1,1,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,106,106,1,1,1,15.0,1,0,1
3832,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,106,99999,1,0,0,0.0,1,0,1
109063,50,0,0.0,50,46,9,23,23,0,0,0,0,0.0,0,0,0,0,0,0,0,1,75,99999,2,0,0,0.0,1,0,1
9853,2,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,100,99999,1,0,0,0.0,1,0,1
114549,2,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,3,12,99999,2,0,0,0.0,0,0,1
136895,5,0,0.0,4,3,3,3,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
109945,8,0,0.0,6,6,5,5,5,0,0,2,0,0.0,2,2,2,2,2,0,0,3,12,99999,4,0,0,0.0,0,0,1
8367,18,0,0.0,18,17,5,11,11,0,0,6,0,0.0,6,6,4,5,5,0,0,3,2,99999,3,0,0,0.0,0,0,1
47119,3,0,0.0,2,2,2,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
